NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS
X75308         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;
U86782         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U20428         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006629: lipid metabolism;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U45328         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006928: cell motility;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X92106         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
Z29331         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U47927         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0007582: physiological processes;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U64444         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;
X55330         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U20657         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U14394         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006915: apoptosis;GO:0006366: transcription from Pol II promoter;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U58522         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006091: energy pathways;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
M13143         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006366: transcription from Pol II promoter;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;GO:0007048: oncogenesis;
S81003         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0007602: phototransduction;GO:0007601: vision;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
M84526         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;   GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006508: proteolysis and peptidolysis;GO:0006959: humoral defense mechanism;
M73047         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0000074: cell cycle control;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X76040         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006366: transcription from Pol II promoter;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
D80012         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
D42053         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
M55593         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006928: cell motility;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X07820         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U83411         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
J04605         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U05572         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U39317         GO:0006508: proteolysis and peptidolysis;GO:0007048: oncogenesis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
M75106         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U39318         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
S82198         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
M64269         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X63187         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0008283: cell proliferation;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X77383         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
D23662         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X57766         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
Z48481         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
Y13618         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
D78514         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0007155: cell adhesion;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X63546         GO:0006508: proteolysis and peptidolysis;GO:0007048: oncogenesis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
X67318         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U82130         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X16832         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X82153         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006366: transcription from Pol II promoter;GO:0006091: energy pathways;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
L22524         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U19977         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
D50916         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X74496         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X04741         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U30888         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
L14927         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;
X05232         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;
M32402         GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U07550         GO:0006411: protein metabolism and modification;                           GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
L08069         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
D42138         GO:0006411: protein metabolism and modification;                           GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
M36284         GO:0006411: protein metabolism and modification;                           GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;
U04285         GO:0006411: protein metabolism and modification;                           GO:0006955: immune response;GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0006411: protein metabolism and modification;
M64934         GO:0006411: protein metabolism and modification;                           GO:0007155: cell adhesion;GO:0007399: neurogenesis;GO:0007582: physiological processes;GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;
U59919         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
U19261         GO:0006411: protein metabolism and modification;                           GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
J05032         GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;   GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
M19645         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
M29194         GO:0006411: protein metabolism and modification;                           GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;GO:0007048: oncogenesis;
M88279         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
Z31690         GO:0006411: protein metabolism and modification;                           GO:0007267: cell-cell signaling;GO:0006411: protein metabolism and modification;
U42031         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
D13789         GO:0006411: protein metabolism and modification;                           GO:0007166: cell surface receptor linked signal transduction;GO:0006411: protein metabolism and modification;
U82108         GO:0006411: protein metabolism and modification;                           GO:0006810: transport;GO:0006411: protein metabolism and modification;
AF007875       GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
Z34975         GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;   GO:0006928: cell motility;GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
M34539         GO:0006411: protein metabolism and modification;                           GO:0006928: cell motility;GO:0006411: protein metabolism and modification;
X52882         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
X74801         GO:0006411: protein metabolism and modification;                           GO:0000074: cell cycle control;GO:0007155: cell adhesion;GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;
L27706         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
D49489         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
X74837         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
X93498         GO:0006411: protein metabolism and modification;                           GO:0006915: apoptosis;GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
X64594         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
D78333         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;
D49490         GO:0006411: protein metabolism and modification;                           GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U17714         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
X86019         GO:0006411: protein metabolism and modification;                           GO:0007601: vision;GO:0006411: protein metabolism and modification;
D13642         GO:0006411: protein metabolism and modification;                           GO:0006955: immune response;GO:0000074: cell cycle control;GO:0006411: protein metabolism and modification;
U19948         GO:0006411: protein metabolism and modification;                           GO:0007155: cell adhesion;GO:0007242: intracellular signaling cascade;GO:0006411: protein metabolism and modification;
X94910         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
M55210         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
U32680         GO:0006411: protein metabolism and modification;                           GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
X12901         GO:0006411: protein metabolism and modification;                           GO:0007267: cell-cell signaling;GO:0006411: protein metabolism and modification;
X54326         GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
U73704         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
D88667         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
M97347         GO:0006411: protein metabolism and modification;                           GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
D63998         GO:0006411: protein metabolism and modification;                           GO:0007399: neurogenesis;GO:0006411: protein metabolism and modification;
X87237         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
U46570         GO:0006411: protein metabolism and modification;                           GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
U46571         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
D89289         GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;   GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
D50645         GO:0006411: protein metabolism and modification;                           GO:0006810: transport;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;
M94345         GO:0006411: protein metabolism and modification;                           GO:0006928: cell motility;GO:0006629: lipid metabolism;GO:0006411: protein metabolism and modification;
U15128         GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;   GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
X60592         GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;   GO:0006468: protein phosphorylation;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;
L41607         GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;   GO:0000074: cell cycle control;GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
U58766         GO:0006411: protein metabolism and modification;                           GO:0007242: intracellular signaling cascade;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
M55621         GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;   GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
X14046         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
M55682         GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;   GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;GO:0007498: mesoderm development;
M55683         GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;   GO:0006955: immune response;GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;
U12595         GO:0006411: protein metabolism and modification;                           GO:0007399: neurogenesis;GO:0006411: protein metabolism and modification;
L05147         GO:0006411: protein metabolism and modification;                           GO:0006468: protein phosphorylation;GO:0006411: protein metabolism and modification;
M64572         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
M25393         GO:0006411: protein metabolism and modification;                           GO:0006928: cell motility;GO:0006411: protein metabolism and modification;
U01337         GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;   GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
U15932         GO:0006411: protein metabolism and modification;                           GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
M93425         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
J03589         GO:0006411: protein metabolism and modification;                           GO:0006810: transport;GO:0006411: protein metabolism and modification;
M37721         GO:0006411: protein metabolism and modification;                           GO:0007582: physiological processes;GO:0006629: lipid metabolism;GO:0006411: protein metabolism and modification;
U58032         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
U58034         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
M34668         GO:0006411: protein metabolism and modification;                           GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
X82676         GO:0006411: protein metabolism and modification;                           GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
M83738         GO:0006411: protein metabolism and modification;                           GO:0007582: physiological processes;GO:0006629: lipid metabolism;GO:0006411: protein metabolism and modification;
Y00281         GO:0006411: protein metabolism and modification;                           GO:0006468: protein phosphorylation;GO:0006411: protein metabolism and modification;
Y00282         GO:0006411: protein metabolism and modification;                           GO:0006468: protein phosphorylation;GO:0006915: apoptosis;GO:0007242: intracellular signaling cascade;GO:0006411: protein metabolism and modification;
D13435         GO:0006411: protein metabolism and modification;                           GO:0006810: transport;GO:0006411: protein metabolism and modification;
U66702         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
U34044         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
D86331         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
U47054         GO:0006411: protein metabolism and modification;                           GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0006411: protein metabolism and modification;
X71125         GO:0006411: protein metabolism and modification;                           GO:0006366: transcription from Pol II promoter;GO:0006810: transport;GO:0006411: protein metabolism and modification;
L13852         GO:0006411: protein metabolism and modification;                           GO:0007602: phototransduction;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;
U27831         GO:0006411: protein metabolism and modification;                           GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;
X58288         GO:0006411: protein metabolism and modification;                           GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
M35296         GO:0006411: protein metabolism and modification;                           GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006411: protein metabolism and modification;
U79286         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
L13972         GO:0006411: protein metabolism and modification;                           
D64053         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
Y07596         GO:0006411: protein metabolism and modification;                           GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0006810: transport;GO:0006411: protein metabolism and modification;
U84573         GO:0006411: protein metabolism and modification;                           GO:0007155: cell adhesion;GO:0006411: protein metabolism and modification;
U24389         GO:0006411: protein metabolism and modification;                           GO:0000074: cell cycle control;GO:0006928: cell motility;GO:0006411: protein metabolism and modification;
U63090         GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;   GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;GO:0005975: carbohydrate metabolism;
L25441         GO:0006411: protein metabolism and modification;                           GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0006411: protein metabolism and modification;
S74683         GO:0006411: protein metabolism and modification;                           GO:0006468: protein phosphorylation;GO:0006629: lipid metabolism;GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
D11327         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
U96114         GO:0006411: protein metabolism and modification;                           GO:0007399: neurogenesis;GO:0006411: protein metabolism and modification;
U48296         GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;   GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
L19783         GO:0006411: protein metabolism and modification;                           GO:0007602: phototransduction;GO:0006411: protein metabolism and modification;
Z35102         GO:0006411: protein metabolism and modification;                           GO:0006259: DNA metabolism;GO:0007602: phototransduction;GO:0007155: cell adhesion;GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;
L06419         GO:0006411: protein metabolism and modification;                           GO:0006810: transport;GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;
M15990         GO:0006411: protein metabolism and modification;                           GO:0006259: DNA metabolism;GO:0007267: cell-cell signaling;GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;
J02783         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
L38517         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
X79510         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
M86707         GO:0006411: protein metabolism and modification;                           GO:0006468: protein phosphorylation;GO:0007242: intracellular signaling cascade;GO:0006411: protein metabolism and modification;
D85418         GO:0006411: protein metabolism and modification;                           GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
X79568         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
S87759         GO:0006411: protein metabolism and modification;                           GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;
Z48482         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
Z48541         GO:0006411: protein metabolism and modification;                           GO:0007242: intracellular signaling cascade;GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
M95936         GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;   GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
X05130         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
L10386         GO:0006411: protein metabolism and modification;                           GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
M68941         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
X54131         GO:0006411: protein metabolism and modification;                           GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007601: vision;GO:0006411: protein metabolism and modification;
M91670         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
M55153         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
X06182         GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;   GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
D25547         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
L18983         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
L00635         GO:0006411: protein metabolism and modification;                           GO:0006366: transcription from Pol II promoter;GO:0007601: vision;GO:0006411: protein metabolism and modification;
D15049         GO:0006411: protein metabolism and modification;                           GO:0006091: energy pathways;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
U46024         GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;   GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;
X99209         GO:0006411: protein metabolism and modification;                           GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0007498: mesoderm development;
Z79693         GO:0006411: protein metabolism and modification;                           GO:0006411: protein metabolism and modification;
X62822         GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;   GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;
U29607         GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;   GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
U13220         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
J03827         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
U37689         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
U37690         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;
U69127         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
M65217         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
U81984         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
U88629         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0006959: humoral defense mechanism;
L41067         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
S74017         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;
L38810         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
X68505         GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;   GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;GO:0007048: oncogenesis;
U65404         GO:0006366: transcription from Pol II promoter;                            GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;
X68985         GO:0006366: transcription from Pol II promoter;                            
L37127         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
L10405         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
X54993         GO:0006366: transcription from Pol II promoter;                            GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007242: intracellular signaling cascade;
U65928         GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;   GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
X63380         GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;   GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;GO:0007048: oncogenesis;
X55037         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007602: phototransduction;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0007601: vision;
U89995         GO:0006366: transcription from Pol II promoter;                            
X16901         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0006091: energy pathways;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X63468         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0006810: transport;GO:0007582: physiological processes;
Z27113         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0006959: humoral defense mechanism;
X77366         GO:0006366: transcription from Pol II promoter;                            GO:0006468: protein phosphorylation;GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
X63469         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;
L20298         GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;    GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;
X55666         GO:0006366: transcription from Pol II promoter;                            GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006629: lipid metabolism;GO:0007048: oncogenesis;
X63563         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
S83308         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007242: intracellular signaling cascade;
